input_angle,velocity_angle,displace_angle,impulse_angle,displace_forward,displace_side,start_speed,end_speed,time_taken
0.0,3.1242228859439827,3.1398816049626346,0.003028206468250527,-964.3199729919434,1.649999976158142,-2299.997570685646,-348.73754657454515,1.3500003814697266
0.0,3.141575609920876,3.141592653589793,7.07577935865622E-6,-1204.4199562072754,0.0,-2199.997719592533,-652.1720309886306,1.3500003814697266
0.0,3.1415736903934866,3.141592653589793,7.2371800416970444E-6,-1113.219970703125,0.0,-2099.9978684994203,-586.8745715421909,1.3499994277954102
0.0,3.1415712832024316,3.141592653589793,7.4060655825824995E-6,-1021.9699363708496,0.0,-1999.998017406307,-521.5670463044156,1.3499994277954102
0.0,3.1415681771090767,3.141592653589793,7.583126593102563E-6,-930.8299903869629,0.0,-1899.9981663131941,-456.27959164451545,1.3499994277954102
0.0,3.141592653589793,3.141592653589793,0.0,-839.5199584960938,0.0,-1799.9983152200812,-390.9920759803,1.3500003814697266
0.0,3.141592653589793,3.141592653589793,0.0,-748.3799705505371,0.0,-1699.9984641269682,-325.7045603156039,1.3500003814697266
0.0,3.141592653589793,3.141592653589793,0.0,-657.1399879455566,0.0,-1599.9986130338555,-260.4070551155673,1.3500003814697266
0.0,3.141592653589793,3.141592653589793,0.0,-565.9099731445312,0.0,-1499.9987619407425,-195.11955470207016,1.3500003814697266
0.0,3.141592653589793,3.141592653589793,0.0,-474.6399803161621,0.0,-1402.4788876235177,-129.8220495020335,1.3499984741210938
0.0,3.141592653589793,3.141592653589793,0.0,-383.48999214172363,0.0,-1304.3590386137607,-64.53453765013717,1.3500003814697266
0.0,0.0,3.141592653589793,0.0,-292.25999641418457,0.0,-1206.0591361611782,0.7549663896276559,1.3500003814697266
0.0,0.0,3.141592653589793,0.0,-201.66999053955078,0.0,-1107.7693655294465,21.351297098370942,1.3499984741210938
0.0,0.0,3.141592653589793,0.0,-112.6199951171875,0.0,-1009.479472827584,47.488726373160674,1.3500003814697266
0.0,0.0,3.141592653589793,0.0,-21.540000915527344,0.0,-911.1896411607869,111.27320434173211,1.3500003814697266
0.0,0.0,0.0,0.0,69.70999717712402,0.0,-812.8897387082045,175.1876352001457,1.3500003814697266
0.0,0.0,0.0,0.0,160.85999393463135,0.0,-714.5999070414074,239.1240390497438,1.3500022888183594
0.0,0.0,0.0,0.0,252.14998722076416,0.0,-616.3100753746103,303.0486335067854,1.3499984741210938
0.0,0.0,0.0,0.0,343.33999824523926,0.0,-518.0102339570933,366.9532316375487,1.3499984741210938
0.0,0.0,0.0,0.0,434.50999641418457,0.0,-419.72040229029614,430.8572964900654,1.3499984741210938
0.0,0.0,0.0,0.0,525.7499804496765,0.0,-321.43054010596626,494.7818756943791,1.3500022888183594
0.0,0.0,0.0,0.0,561.1099901199341,0.0,-223.14069318040282,511.8450413863955,1.3500022888183594
